query,sample_response
How do I submit my life certificate?,Life certificates must be submitted annually by November 30th. You can submit it at your bank or online via Jeevan Pramaan.
How is family pension processed?,Family pension is given to eligible dependents. Kindly submit the death certificate and Form 14 to initiate the process.
How to apply for family pension?,Family pension is given to eligible dependents. Kindly submit the death certificate and Form 14 to initiate the process.
Who gets family pension after death of pensioner?,Family pension is given to eligible dependents. Kindly submit the death certificate and Form 14 to initiate the process.
I want to transfer my pension to a new bank account.,You can change your pension bank by submitting a request to your pension disbursing authority with relevant KYC documents.
DARPG portal not loading.,We regret the inconvenience. Please try again later or email your grievance to the support team.
Pension rules after re-employment?,Re-employment may affect your pension based on the rules of your department. Please consult your pension office.
Will my pension stop if I get a job?,Re-employment may affect your pension based on the rules of your department. Please consult your pension office.
Deadline for life certificate submission?,Life certificates must be submitted annually by November 30th. You can submit it at your bank or online via Jeevan Pramaan.
Still waiting for arrear payment.,Arrears are released after approval from the pension authority. Kindly wait for official communication.
How to report pensioner death?,Submit the death certificate at your pension office or upload it through the official portal for processing.
How can I change my pension bank?,You can change your pension bank by submitting a request to your pension disbursing authority with relevant KYC documents.
Death of pensioner - what to do?,Submit the death certificate at your pension office or upload it through the official portal for processing.
No update on my complaint.,We regret the delay. Your grievance is under process and will be addressed shortly.
Who gets family pension after death of pensioner?,Family pension is given to eligible dependents. Kindly submit the death certificate and Form 14 to initiate the process.
Tracking my PPO request.,Please share your PPO number or application reference to check the status.
How can I check my PPO number?,Please share your PPO number or application reference to check the status.
How is family pension processed?,Family pension is given to eligible dependents. Kindly submit the death certificate and Form 14 to initiate the process.
Procedure to update pension bank details?,You can change your pension bank by submitting a request to your pension disbursing authority with relevant KYC documents.
What is the status of my PPO number?,Please share your PPO number or application reference to check the status.
Does re-employment affect pension?,Re-employment may affect your pension based on the rules of your department. Please consult your pension office.
I can't submit the form online.,We regret the inconvenience. Please try again later or email your grievance to the support team.
What is the status of my PPO number?,Please share your PPO number or application reference to check the status.
Issue with pension website.,We regret the inconvenience. Please try again later or email your grievance to the support team.
Site crashes during form submission.,We regret the inconvenience. Please try again later or email your grievance to the support team.
Pension rules after re-employment?,Re-employment may affect your pension based on the rules of your department. Please consult your pension office.
DARPG portal not loading.,We regret the inconvenience. Please try again later or email your grievance to the support team.
I haven’t received my arrears.,Arrears are released after approval from the pension authority. Kindly wait for official communication.
How do I update my bank for pension?,You can change your pension bank by submitting a request to your pension disbursing authority with relevant KYC documents.
Is life certificate mandatory every year?,Life certificates must be submitted annually by November 30th. You can submit it at your bank or online via Jeevan Pramaan.
How can I change my pension bank?,You can change your pension bank by submitting a request to your pension disbursing authority with relevant KYC documents.
Why is my grievance still pending?,We regret the delay. Your grievance is under process and will be addressed shortly.
When is the last date to submit the life certificate?,Life certificates must be submitted annually by November 30th. You can submit it at your bank or online via Jeevan Pramaan.
I want to transfer my pension to a new bank account.,You can change your pension bank by submitting a request to your pension disbursing authority with relevant KYC documents.
My issue is unresolved.,We regret the delay. Your grievance is under process and will be addressed shortly.
Documents for family pension after death.,Family pension is given to eligible dependents. Kindly submit the death certificate and Form 14 to initiate the process.
Status of my pension file?,Please share your PPO number or application reference to check the status.
My pension is missing this month.,Please provide your PPO number and bank details so we can investigate the payment delay.
I haven’t received my arrears.,Arrears are released after approval from the pension authority. Kindly wait for official communication.
What is the status of my PPO number?,Please share your PPO number or application reference to check the status.
What is the status of my PPO number?,Please share your PPO number or application reference to check the status.
How can I change my pension bank?,You can change your pension bank by submitting a request to your pension disbursing authority with relevant KYC documents.
Deadline for life certificate submission?,Life certificates must be submitted annually by November 30th. You can submit it at your bank or online via Jeevan Pramaan.
My pension is missing this month.,Please provide your PPO number and bank details so we can investigate the payment delay.
How to report pensioner death?,Submit the death certificate at your pension office or upload it through the official portal for processing.
Still waiting for pension payment.,Please provide your PPO number and bank details so we can investigate the payment delay.
How do I update my bank for pension?,You can change your pension bank by submitting a request to your pension disbursing authority with relevant KYC documents.
Status of my pension file?,Please share your PPO number or application reference to check the status.
DARPG portal not loading.,We regret the inconvenience. Please try again later or email your grievance to the support team.
Procedure to update pension bank details?,You can change your pension bank by submitting a request to your pension disbursing authority with relevant KYC documents.
Tracking my PPO request.,Please share your PPO number or application reference to check the status.
Deadline for life certificate submission?,Life certificates must be submitted annually by November 30th. You can submit it at your bank or online via Jeevan Pramaan.
Can I change the pension receiving bank?,You can change your pension bank by submitting a request to your pension disbursing authority with relevant KYC documents.
I haven’t received my arrears.,Arrears are released after approval from the pension authority. Kindly wait for official communication.
Pension closure after death certificate?,Submit the death certificate at your pension office or upload it through the official portal for processing.
